GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OptativaTestesUnitarios,personal.optativatestesunitarios,OptativaTestesUnitarios,20,0,0,0,7,0,2,0,2,0
OptativaTestesUnitarios,personal.optativatestesunitarios,Aluno,31,0,0,0,13,0,9,0,9,0
